PID,ID_0,ISO,NAME_0,ID_1,NAME_1,NL_NAME_1,VARNAME_1,TYPE_1,ENGTYPE_1
1,1,AFG,Afghanistan,1,Badakhshan,,Badahšan,Velayat,Province
2,1,AFG,Afghanistan,2,Badghis,,Badghes|Badghisat|Badgis,Velayat,Province
3,1,AFG,Afghanistan,3,Baghlan,,Baglan|Bughlan,Velayat,Province
4,1,AFG,Afghanistan,4,Balkh,,Balh|Mazar-i-Sharif|Mazar,Velayat,Province
5,1,AFG,Afghanistan,5,Bamyan,,,Velayat,Province
6,1,AFG,Afghanistan,6,Farah,,,Velayat,Province
7,1,AFG,Afghanistan,7,Faryab,,Fariab|Maimana|Meymaneh,Velayat,Province
8,1,AFG,Afghanistan,8,Ghazni,,Gazni,Velayat,Province
9,1,AFG,Afghanistan,9,Ghor,,Gawr|Ghore|Ghour|Ghur,Velayat,Province
10,1,AFG,Afghanistan,10,Hilmand,,Girishk|Hilmend,Velayat,Province
11,1,AFG,Afghanistan,11,Hirat,,,Velayat,Province
12,1,AFG,Afghanistan,12,Jawzjan,,Jaozjan|Jozjan|Juzjan|Jouzjan|Shibarghan,Velayat,Province
13,1,AFG,Afghanistan,13,Kabul,,Cabul|Kabol|Kaboul,Velayat,Province
14,1,AFG,Afghanistan,14,Kandahar,,Qandahar,Velayat,Province
15,1,AFG,Afghanistan,15,Kapisa,,Kapesa,Velayat,Province
16,1,AFG,Afghanistan,16,Khost,,,Velayat,Province
17,1,AFG,Afghanistan,17,Kunar,,Konarha|Kunarha,Velayat,Province
18,1,AFG,Afghanistan,18,Kunduz,,Kondoz|Qonduz|Qunduz,Velayat,Province
19,1,AFG,Afghanistan,19,Laghman,,Lagman,Velayat,Province
20,1,AFG,Afghanistan,20,Logar,,Lawghar|Loghar,Velayat,Province
21,1,AFG,Afghanistan,21,Nangarhar,,Ningrahar|Eastern Province,Velayat,Province
22,1,AFG,Afghanistan,22,Nimroz,,Neemroze|Nimrod|Nimrooz|Nimroze|Chakhansur,Velayat,Province
23,1,AFG,Afghanistan,23,Nuristan,,Nooristan|Nuristão,Velayat,Province
24,1,AFG,Afghanistan,24,Paktika,,Paktiya|Paktya|Southern Province,Velayat,Province
25,1,AFG,Afghanistan,25,Paktya,,Paktiya|Southern Province,Velayat,Province
26,1,AFG,Afghanistan,26,Parwan,,Charikar,Velayat,Province
27,1,AFG,Afghanistan,27,Samangan,,,Velayat,Province
28,1,AFG,Afghanistan,28,Sari Pul,,Sar-e Pul|Saripol,Velayat,Province
29,1,AFG,Afghanistan,29,Takhar,,Takar,Velayat,Province
